,station,week,zaterdag,zondag,lat,lng,station_link
402,LONZEE,135,28,18,50.5514325,4.721178999999999,Lonzée
403,LOT,380,77,77,46.3609117,-63.5461687,
404,LOUVAIN-LA-NEUVE-UNIV.,6097,2539,1425,50.6698511,4.6162556,Louvain-la-Neuve-Université
405,LUSTIN,378,160,182,50.36897099999999,4.877161900000001,Lustin
406,LUTTRE,2285,701,593,50.5062939,4.383920099999999,Luttre
407,MAFFLE,133,20,19,50.6144694,3.799909,Maffle
408,MALDEREN,287,91,101,51.0143948,4.2285528,Malderen
409,MANAGE,458,158,104,50.50584629999999,4.2348267,Manage
410,MARBEHAN,646,353,744,49.7272779,5.5394262,Marbehan
411,MARCHE-EN-FAMENNE,410,117,147,50.22264000000001,5.34626,Marche-en-Famenne
412,MARCHE-LES-DAMES,51,16,15,50.48078889999999,4.9654694,Marche-les-Dames
413,MARCHE-LEZ-ECAUSSINNES,125,9,9,50.546258,4.176974299999999,Marche-lez-Écaussinnes
414,MARCHIENNE-AU-PONT,1509,474,485,50.4121379,4.3939815000000015,Marchienne-au-Pont
415,MARCHIENNE-ZONE,29,2,10,50.3980535,4.390750199999999,Marchienne-Zone
416,MARIA-AALTER,165,57,57,51.1076819,3.3866187999999995,Maria-Aalter
417,MARIEMBOURG,171,38,70,50.0957576,4.5244637,Mariembourg
418,MARLOIE,1653,918,1815,50.2024548,5.3139365,Marloie
419,MASNUY-SAINT-PIERRE,33,9,9,50.536268,3.9615531,Masnuy-Saint-Pierre
420,MAUBRAY,23,9,9,50.54726779999999,3.4962438,Maubray
421,MAZY,34,9,9,50.51287379999999,4.6755742,Mazy
422,MECHELEN,18945,5766,5702,51.01790090000001,4.483312799999998,Mechelen
423,MECHELEN-NEKKERSPOEL,1917,838,461,51.0302789,4.4905817,Mechelen-Nekkerspoel
424,MEISER,350,9,9,50.85487620000001,4.3941685,Meiser
425,MELKOUWEN,217,57,70,51.0947887,4.671943700000001,Melkouwen
426,MELLE,821,120,103,52.209257,8.343221,
427,MELREUX-HOTTON,288,115,118,50.2839785,5.4409714000000005,Melreux-Hotton
428,MELSELE,120,18,19,51.210565,4.2866652,Melsele
429,MENEN,804,319,351,50.7993181,3.1139281000000003,Menen
430,MERCHTEM,752,159,178,50.9539388,4.2238927,Merchtem
431,MERELBEKE,832,122,140,51.0199446,3.7643116,Merelbeke
